request_id=31867|request_type=Copy|submissiondate=20-10-2015 01:11:06|completiondate=20-10-2015 01:12:49|duration=103|status=Completed|objectname=A_21809515|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07747|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809515</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31868|request_type=Copy|submissiondate=20-10-2015 01:11:06|completiondate=20-10-2015 01:12:49|duration=103|status=Completed|objectname=A_21809515|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08009|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809515</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31910|request_type=Delete_Instance|submissiondate=20-10-2015 01:12:50|completiondate=20-10-2015 01:12:51|duration=1|status=Completed|objectname=A_21809515|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31850|request_type=Copy|submissiondate=20-10-2015 01:10:39|completiondate=20-10-2015 01:12:53|duration=134|status=Completed|objectname=A_21540842|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B03364|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21540842</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31911|request_type=Delete_Instance|submissiondate=20-10-2015 01:12:54|completiondate=20-10-2015 01:12:55|duration=1|status=Completed|objectname=A_21540842|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31875|request_type=Copy|submissiondate=20-10-2015 01:11:11|completiondate=20-10-2015 01:12:55|duration=104|status=Completed|objectname=A_21809500|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08008|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809500</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31912|request_type=Delete_Instance|submissiondate=20-10-2015 01:12:55|completiondate=20-10-2015 01:12:57|duration=2|status=Completed|objectname=A_21809500|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31878|request_type=Copy|submissiondate=20-10-2015 01:11:22|completiondate=20-10-2015 01:13:05|duration=103|status=Completed|objectname=A_21809534|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B03364|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809534</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31913|request_type=Delete_Instance|submissiondate=20-10-2015 01:13:05|completiondate=20-10-2015 01:13:07|duration=2|status=Completed|objectname=A_21809534|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31882|request_type=Copy|submissiondate=20-10-2015 01:11:27|completiondate=20-10-2015 01:13:11|duration=104|status=Completed|objectname=A_21540897|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B01030|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21540897</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA3</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
